timestamp,ca1,ca2
1587419962.9587264,-40.10576465446414,9.799424755126749
1587419962.9587264,-39.40978732319486,9.56863150172808
1587419962.9607065,-38.73489152722251,9.423771530276639
1587419962.9607065,-38.488812670099335,9.392424013729642
1587419962.9737022,-38.35458657313135,9.487847366210621
1587419962.9737022,-37.853207865909965,9.384925545808448
1587419962.9754164,-37.57916955650629,9.530517495362844
1587419962.9754164,-37.49808954850204,9.467816173538809
1587419962.9874048,-36.77562155755722,9.996968087712638
1587419962.9874048,-36.56382051211794,9.87898455049779
1587419962.9962373,-36.143202769981684,9.61028396881597
1587419962.9962373,-35.908390050194946,9.57481979020759
1587419963.009885,-35.57010153595476,9.767500664922117
1587419963.009885,-35.30582767510177,9.86382851313668
1587419963.0186992,-35.12300646557665,9.818094399018907
1587419963.0186992,-34.97604719597978,9.6720992094357
1587419963.033729,-34.812452718616235,9.557196805666642
1587419963.033729,-34.48990336699817,9.513137697684133
1587419963.0352342,-34.378081784453094,9.489597528470032
1587419963.0352342,-34.22934492397863,9.553876868388691
1587419963.0473585,-34.15455881253501,9.538102959581
1587419963.0473585,-33.97027559129168,9.526533387514371
1587419963.0561793,-33.76184701687997,9.61507453836211
1587419963.0561793,-33.660047274944645,9.590685564682596
1587419963.0699544,-33.489367314712716,9.587522500908086
1587419963.0699544,-33.348532453497384,9.605995587221114
1587419963.078722,-33.24048485534186,9.550831945281356
1587419963.078722,-33.1079891928177,9.525271467592079
1587419963.0937698,-33.04156940767973,9.57637017199604
1587419963.0937698,-32.94355232965963,9.591224676886586
1587419963.0954022,-32.836015200305866,9.605377691830128
1587419963.0954022,-32.82776954526962,9.600310960054362
1587419963.107389,-32.802907749579084,9.620639522018369
1587419963.107389,-32.70217224461754,9.601559677761312
1587419963.116238,-32.5564651410135,9.720572739301652
1587419963.116238,-32.45152108547608,9.779514153201372
1587419963.129884,-32.18931156863535,9.542796765795426
1587419963.129884,-32.005749637833574,9.498988314961007
1587419963.1387773,-31.993944335980117,9.491743396372348
1587419963.1387773,-31.926544632126564,9.434195641196075
1587419963.1537323,-31.83747880984754,9.443032333895587
1587419963.1537323,-31.80161939657873,9.459781363654564
1587419963.155166,-31.736518170597193,9.485904255253862
1587419963.155166,-31.648293668300774,9.464440603215145
1587419963.1673708,-31.532710292569988,9.490418923465317
