timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1584990353.7327976,23,3,3,-2,1,1,1,14
1584990353.7327976,-70,-15,-3,-5,0,-3,-5,-23
1584990353.7457573,15,0,-2,0,-6,0,-3,-19
1584990353.7457573,0,4,3,-1,2,1,5,16
1584990353.7470174,18,6,3,2,5,0,3,13
1584990353.7470174,8,-4,-5,-1,0,0,-5,-10
1584990353.776484,-1,-9,-8,-4,3,-6,-3,-2
1584990353.776484,2,5,1,1,-5,1,2,9
1584990353.7777839,8,-1,2,4,-1,0,-2,-8
1584990353.7777839,13,5,0,-2,1,0,3,2
1584990353.7908354,21,10,1,1,0,1,5,23
1584990353.7908354,-60,-20,-8,0,-1,0,-6,-29
1584990353.7921247,44,-9,-7,-3,-4,-4,-7,-2
1584990353.7921247,20,5,4,0,1,-3,4,3
1584990353.8058674,29,11,3,4,0,3,4,18
1584990353.8058674,4,10,9,5,1,0,1,8
1584990353.8071592,-43,-3,0,0,3,3,5,0
1584990353.8071592,-53,-9,-2,-1,-4,-1,-7,-48
1584990353.8282404,29,0,-3,0,2,-4,-3,16
1584990353.8282404,31,4,-5,-3,-2,-2,-2,-11
1584990353.8300505,3,1,3,4,0,1,4,15
1584990353.8300505,7,4,-5,-3,-4,-1,8,10
1584990353.8507636,7,11,12,1,-1,0,-4,-28
1584990353.8507636,2,13,2,0,-4,-1,-1,11
1584990353.8516724,-19,-14,-6,-5,-4,-2,-6,-34
1584990353.8516724,-4,-3,-3,0,1,-2,-3,-8
1584990353.865749,15,9,4,0,3,2,2,13
1584990353.865749,-4,-7,0,3,3,4,2,18
1584990353.8666415,16,11,5,2,1,5,4,1
1584990353.8666415,16,-19,-6,-7,-5,-9,-10,-1
1584990353.8882499,-36,4,-1,1,-3,1,0,-16
1584990353.8882499,17,-6,-1,-4,-2,-9,-13,-26
1584990353.8894455,1,11,5,2,3,2,7,20
1584990353.8894455,25,3,3,2,1,-2,5,11
1584990353.9107149,127,-1,-6,-3,1,-3,4,15
1584990353.9107149,49,18,1,5,5,1,7,8
1584990353.9118788,-120,-38,-9,-14,-9,-12,-25,-60
1584990353.9118788,127,31,5,8,1,6,11,37
1584990353.925741,8,-9,-1,0,-1,-1,3,-40
1584990353.925741,-128,-126,-55,-20,-9,-10,-19,-77
1584990353.927032,127,24,11,-2,0,-4,5,22
1584990353.927032,-86,63,22,5,4,6,12,85
1584990353.9491146,127,24,-4,4,2,3,5,-18
1584990353.9491146,-28,-41,-17,-1,-3,-3,-7,57
1584990353.9500809,-128,-27,-22,-16,-7,-7,1,-21
1584990353.9500809,-128,-33,15,1,0,-4,-17,-50
1584990353.971348,127,20,2,1,1,2,10,93
1584990353.971348,127,49,30,22,14,19,28,-51
1584990353.9783053,-128,-60,-37,-23,-18,-19,-35,-90
1584990353.9783053,-128,85,44,28,17,23,52,127
1584990353.9863768,127,-110,-51,-29,-19,-25,-40,-51
1584990353.9863768,-20,61,35,24,17,34,72,127
1584990353.9876513,2,-35,-76,-37,-22,-34,-74,-82
1584990353.9876513,127,34,71,19,7,17,47,127
1584990354.0165954,-128,29,-27,-19,-9,-18,-33,-128
1584990354.0165954,127,127,1,15,2,1,-2,-12
1584990354.018107,9,-32,58,8,3,7,-15,75
1584990354.018107,122,95,6,4,5,8,12,83
1584990354.055398,127,-79,-20,-4,-3,0,2,-128
1584990354.055398,127,41,-94,-17,-15,-3,0,57
1584990354.0568957,-128,-50,107,-6,-14,-33,-77,31
1584990354.0568957,-41,114,2,1,7,5,17,-107
1584990354.0577838,-128,76,12,4,4,6,27,-61
1584990354.0577838,-128,-66,54,-12,-13,-26,-86,-1
1584990354.0608027,123,122,25,32,29,29,23,16
1584990354.0608027,-128,127,-3,-34,-30,-41,-83,-128
1584990354.0697718,127,-128,-11,-6,-1,-4,30,96
1584990354.0697718,77,-28,5,10,11,18,5,96
1584990354.071009,-128,32,-42,-4,-3,-5,-17,-128
1584990354.071009,87,28,-26,-13,-9,-7,19,127
1584990354.090867,-30,-128,13,-5,-7,-3,-28,-128
1584990354.090867,-128,-128,-63,-3,1,-1,30,63
1584990354.0922706,114,-74,30,0,7,-5,-20,86
1584990354.0922706,127,74,-52,-22,-14,-25,-38,-6
1584990354.1146,-18,127,72,24,7,5,37,8
1584990354.1146,127,-128,-74,-13,-5,11,7,73
1584990354.1155684,-128,-128,-18,-8,-1,0,-2,-32
1584990354.1155684,127,-121,37,18,12,17,17,43
1584990354.128932,-128,127,30,-6,-4,-7,3,-53
1584990354.128932,-11,-117,11,15,13,32,28,69
1584990354.1360083,74,-82,-62,-13,-16,-35,-21,16
1584990354.1360083,127,-12,6,-1,-4,-4,21,99
1584990354.1591933,-128,127,127,19,-1,-4,-70,-128
1584990354.1591933,-128,-91,-25,-8,-6,-10,-14,-57
1584990354.160167,-111,-128,-31,-5,-3,-2,13,25
1584990354.160167,127,127,73,8,-2,3,6,49
1584990354.1814814,20,76,28,11,11,19,31,127
1584990354.1814814,127,-24,-58,-17,-15,-9,32,127
1584990354.1827044,127,-20,15,6,8,-1,-12,85
1584990354.1827044,-128,127,91,28,18,10,23,-9
1584990354.188349,127,127,23,13,9,20,53,127
1584990354.188349,127,-127,3,-4,-1,3,-22,-95
1584990354.1894407,-86,-60,-7,-15,-17,-49,-28,-4
1584990354.1894407,127,73,44,32,26,30,45,127
1584990354.2107666,60,-70,-38,-25,-17,-23,-38,-128
1584990354.2107666,12,-128,-30,5,2,-3,-12,127
